gppd_idnr,year,reported_generation,estimated_generation,model_name
WKS0070144,2013,,18.437561001768767,ai4e_solar_model_no_age
WKS0070144,2014,,17.485276815327328,ai4e_solar_model_no_age
WKS0070144,2015,,18.258559943142846,ai4e_solar_model_no_age
WKS0070144,2016,,17.70152941544006,ai4e_solar_model_no_age
WKS0070144,2017,,18.290488071120542,ai4e_solar_model_no_age
WKS0071196,2013,,18.64826879330399,ai4e_solar_model_no_age
WKS0071196,2014,,17.5857111263455,ai4e_solar_model_no_age
WKS0071196,2015,,19.103928692972463,ai4e_solar_model_no_age
WKS0071196,2016,,17.624122960390533,ai4e_solar_model_no_age
WKS0071196,2017,,18.721239608447473,ai4e_solar_model_no_age
WKS0068905,2014,,35.224110439927244,ai4e_solar_model_no_age
WKS0068905,2015,,34.22554581740082,ai4e_solar_model_no_age
WKS0068905,2016,,35.33242090484701,ai4e_solar_model_no_age
WKS0068905,2017,,35.17288244375919,ai4e_solar_model_no_age
WKS0065285,2014,,38.68515467532281,ai4e_solar_model_no_age
WKS0065285,2015,,37.565640506661666,ai4e_solar_model_no_age
WKS0065285,2016,,38.37652782155359,ai4e_solar_model_no_age
WKS0065285,2017,,38.75740381416807,ai4e_solar_model_no_age
WKS0068919,2014,,34.857161684863016,ai4e_solar_model_no_age
WKS0068919,2015,,33.67103064723677,ai4e_solar_model_no_age
WKS0068919,2016,,34.5412835122385,ai4e_solar_model_no_age
WKS0068919,2017,,35.46677197409652,ai4e_solar_model_no_age
WKS0068916,2014,,33.42510892529201,ai4e_solar_model_no_age
WKS0068916,2015,,33.58638852670403,ai4e_solar_model_no_age
WKS0068916,2016,,34.7551094554806,ai4e_solar_model_no_age
WKS0068916,2017,,34.810516780833304,ai4e_solar_model_no_age
WKS0073479,2014,,80.98946064758256,ai4e_solar_model_no_age
WKS0073479,2015,,81.84083809908063,ai4e_solar_model_no_age
WKS0073479,2016,,85.6691270413912,ai4e_solar_model_no_age
WKS0073479,2017,,85.55483846154232,ai4e_solar_model_no_age
WKS0068915,2014,,33.645557099883625,ai4e_solar_model_no_age
WKS0068915,2015,,33.68883303057603,ai4e_solar_model_no_age
WKS0068915,2016,,33.63415486576249,ai4e_solar_model_no_age
WKS0068915,2017,,33.75073771884723,ai4e_solar_model_no_age
WKS0068912,2014,,73.79317241434349,ai4e_solar_model_no_age
WKS0068912,2015,,72.11054933272139,ai4e_solar_model_no_age
WKS0068912,2016,,74.36453502740402,ai4e_solar_model_no_age
WKS0068912,2017,,74.0243243402228,ai4e_solar_model_no_age
WKS0068908,2014,,8.936303385130085,ai4e_solar_model_no_age
WKS0068908,2015,,8.716416330699424,ai4e_solar_model_no_age
WKS0068908,2016,,8.728251017479522,ai4e_solar_model_no_age
WKS0068908,2017,,8.647699447838376,ai4e_solar_model_no_age
WKS0072833,2014,,17.318492787112344,ai4e_solar_model_no_age
WKS0072833,2015,,16.850269301848655,ai4e_solar_model_no_age
WKS0072833,2016,,17.16725385779289,ai4e_solar_model_no_age
WKS0072833,2017,,16.67564520831967,ai4e_solar_model_no_age
WKS0065282,2014,,28.564983881839066,ai4e_solar_model_no_age
WKS0065282,2015,,28.613869917255194,ai4e_solar_model_no_age
WKS0065282,2016,,28.69706453427304,ai4e_solar_model_no_age
WKS0065282,2017,,28.34472712405218,ai4e_solar_model_no_age
WKS0068917,2014,,96.0318407271063,ai4e_solar_model_no_age
WKS0068917,2015,,95.1716762054744,ai4e_solar_model_no_age
WKS0068917,2016,,93.44850639993217,ai4e_solar_model_no_age
WKS0068917,2017,,95.1645390688905,ai4e_solar_model_no_age
WKS0068918,2014,,49.382504595730595,ai4e_solar_model_no_age
WKS0068918,2015,,47.99526046958356,ai4e_solar_model_no_age
WKS0068918,2016,,50.88578310856367,ai4e_solar_model_no_age
WKS0068918,2017,,48.720027650449325,ai4e_solar_model_no_age
WKS0071083,2014,,35.771787933802344,ai4e_solar_model_no_age
WKS0071083,2015,,34.301873371003914,ai4e_solar_model_no_age
WKS0071083,2016,,35.45418118081186,ai4e_solar_model_no_age
WKS0071083,2017,,34.698358460671066,ai4e_solar_model_no_age
WKS0068911,2014,,163.8649533004739,ai4e_solar_model_no_age
WKS0068911,2015,,166.11124855870077,ai4e_solar_model_no_age
WKS0068911,2016,,173.567331001658,ai4e_solar_model_no_age
WKS0068911,2017,,173.33401946869438,ai4e_solar_model_no_age
WKS0065280,2014,,129.42284119787757,ai4e_solar_model_no_age
WKS0065280,2015,,130.32290617608217,ai4e_solar_model_no_age
WKS0065280,2016,,131.08959634834238,ai4e_solar_model_no_age
WKS0065280,2017,,130.11548051513682,ai4e_solar_model_no_age
WKS0068914,2014,,9.349394056548169,ai4e_solar_model_no_age
WKS0068914,2015,,8.639871887880476,ai4e_solar_model_no_age
WKS0068914,2016,,8.80547861995189,ai4e_solar_model_no_age
WKS0068914,2017,,8.751834155033002,ai4e_solar_model_no_age
WKS0068921,2014,,33.91849322956814,ai4e_solar_model_no_age
WKS0068921,2015,,33.627825352962354,ai4e_solar_model_no_age
WKS0068921,2016,,34.411477935643916,ai4e_solar_model_no_age
WKS0068921,2017,,33.84261157247087,ai4e_solar_model_no_age
WKS0068920,2014,,33.71877682027029,ai4e_solar_model_no_age
WKS0068920,2015,,33.187593198617876,ai4e_solar_model_no_age
WKS0068920,2016,,34.48827852566881,ai4e_solar_model_no_age
WKS0068920,2017,,33.31586679010903,ai4e_solar_model_no_age
WKS0065281,2014,,27.903580136317597,ai4e_solar_model_no_age
WKS0065281,2015,,28.767533142834914,ai4e_solar_model_no_age
WKS0065281,2016,,28.54859270013697,ai4e_solar_model_no_age
WKS0065281,2017,,28.385769453580437,ai4e_solar_model_no_age
WKS0065283,2014,,37.41356574914829,ai4e_solar_model_no_age
WKS0065283,2015,,37.26821585267582,ai4e_solar_model_no_age
WKS0065283,2016,,37.629104732639824,ai4e_solar_model_no_age
WKS0065283,2017,,37.385161454484646,ai4e_solar_model_no_age
WKS0065284,2014,,38.61104204081321,ai4e_solar_model_no_age
WKS0065284,2015,,37.36174042387868,ai4e_solar_model_no_age
WKS0065284,2016,,38.1471373096773,ai4e_solar_model_no_age
WKS0065284,2017,,38.71341076401837,ai4e_solar_model_no_age
WKS0068907,2014,,8.809215537966365,ai4e_solar_model_no_age
WKS0068907,2015,,8.846853169699715,ai4e_solar_model_no_age
WKS0068907,2016,,8.820116279195116,ai4e_solar_model_no_age
WKS0068907,2017,,8.92207411547716,ai4e_solar_model_no_age
WKS0068926,2014,,29.508081984439517,ai4e_solar_model_no_age
WKS0068926,2015,,30.211227371955236,ai4e_solar_model_no_age
WKS0068926,2016,,29.734260662061537,ai4e_solar_model_no_age
WKS0068926,2017,,30.324732355867816,ai4e_solar_model_no_age
WKS0068909,2014,,16.230681629904574,ai4e_solar_model_no_age
WKS0068909,2015,,15.869230252230782,ai4e_solar_model_no_age
WKS0068909,2016,,16.16641874998848,ai4e_solar_model_no_age
WKS0068909,2017,,15.971584277627535,ai4e_solar_model_no_age
WKS0068925,2014,,17.128148357078928,ai4e_solar_model_no_age
WKS0068925,2015,,15.838679411970862,ai4e_solar_model_no_age
WKS0068925,2016,,15.984620870067927,ai4e_solar_model_no_age
WKS0068925,2017,,15.470339467529802,ai4e_solar_model_no_age
WKS0068922,2014,,22.619888823410513,ai4e_solar_model_no_age
WKS0068922,2015,,22.443001748096236,ai4e_solar_model_no_age
WKS0068922,2016,,22.98974311861009,ai4e_solar_model_no_age
WKS0068922,2017,,22.837404237677777,ai4e_solar_model_no_age
WKS0068906,2014,,10.496143261342562,ai4e_solar_model_no_age
WKS0068906,2015,,10.436721570376807,ai4e_solar_model_no_age
WKS0068906,2016,,10.418578221637887,ai4e_solar_model_no_age
WKS0068906,2017,,10.578896544996903,ai4e_solar_model_no_age
ARG0000295,2013,,4.266072082940268,ai4e_solar_model_no_age
ARG0000295,2014,,4.245279539603297,ai4e_solar_model_no_age
ARG0000295,2015,,3.860406524532158,ai4e_solar_model_no_age
ARG0000295,2016,,3.822609323081525,ai4e_solar_model_no_age
ARG0000295,2017,,4.261682165843888,ai4e_solar_model_no_age
WKS0071212,2013,,194.88777467231805,ai4e_solar_model_no_age
WKS0071212,2014,,194.2603237768436,ai4e_solar_model_no_age
WKS0071212,2015,,192.6787575356313,ai4e_solar_model_no_age
WKS0071212,2016,,193.31249725985785,ai4e_solar_model_no_age
WKS0071212,2017,,192.96940199360373,ai4e_solar_model_no_age
WKS0072494,2013,,76.39810212048309,ai4e_solar_model_no_age
WKS0072494,2014,,72.1484043465769,ai4e_solar_model_no_age
WKS0072494,2015,,63.717896854982655,ai4e_solar_model_no_age
WKS0072494,2016,,70.03793116571183,ai4e_solar_model_no_age
WKS0072494,2017,,75.31888576768925,ai4e_solar_model_no_age
WKS0068701,2013,,646.6821289135551,ai4e_solar_model_no_age
WKS0068701,2014,,646.6821289135551,ai4e_solar_model_no_age
WKS0068701,2015,,643.8789605544093,ai4e_solar_model_no_age
WKS0068701,2016,,645.6430125011339,ai4e_solar_model_no_age
WKS0068701,2017,,643.8789605544093,ai4e_solar_model_no_age
WKS0072502,2013,,189.55311169805458,ai4e_solar_model_no_age
WKS0072502,2014,,189.42191934708978,ai4e_solar_model_no_age
WKS0072502,2015,,190.82462553374916,ai4e_solar_model_no_age
WKS0072502,2016,,188.69504571657254,ai4e_solar_model_no_age
WKS0072502,2017,,188.51790898949358,ai4e_solar_model_no_age
ARG0000298,2013,,2.4357704384133,ai4e_solar_model_no_age
ARG0000298,2014,,2.3836151943022457,ai4e_solar_model_no_age
ARG0000298,2015,,2.307036241416465,ai4e_solar_model_no_age
ARG0000298,2016,,2.347409306994171,ai4e_solar_model_no_age
ARG0000298,2017,,2.4813682147431892,ai4e_solar_model_no_age
WKS0071209,2013,,58.93423755773251,ai4e_solar_model_no_age
WKS0071209,2014,,58.786913106326566,ai4e_solar_model_no_age
WKS0071209,2015,,57.5143990243635,ai4e_solar_model_no_age
WKS0071209,2016,,52.32136031089523,ai4e_solar_model_no_age
