gppd_idnr,year,reported_generation,estimated_generation,model_name
GEODB0040538,2013,,123.77211468870136,ai4e_hydro_model
GEODB0040538,2014,,162.90927478174055,ai4e_hydro_model
GEODB0040538,2015,,97.3943564995513,ai4e_hydro_model
GEODB0040538,2016,,137.76143465095925,ai4e_hydro_model
GEODB0040538,2017,,119.50587457353227,ai4e_hydro_model
GEODB0040541,2013,,225.06982371447953,ai4e_hydro_model
GEODB0040541,2014,,203.5558032383924,ai4e_hydro_model
GEODB0040541,2015,,146.90717747719634,ai4e_hydro_model
GEODB0040541,2016,,230.18376413673673,ai4e_hydro_model
GEODB0040541,2017,,174.91170145259883,ai4e_hydro_model
GEODB0040534,2013,,406.16232942401143,ai4e_hydro_model
GEODB0040534,2014,,357.2287001992346,ai4e_hydro_model
GEODB0040534,2015,,270.9967129403115,ai4e_hydro_model
GEODB0040534,2016,,395.38502253062103,ai4e_hydro_model
GEODB0040534,2017,,350.80246048881014,ai4e_hydro_model
GEODB0040536,2013,,58.77303298301528,ai4e_hydro_model
GEODB0040536,2014,,54.42387902516687,ai4e_hydro_model
GEODB0040536,2015,,42.71553207494653,ai4e_hydro_model
GEODB0040536,2016,,59.7219165641608,ai4e_hydro_model
GEODB0040536,2017,,46.12500571619469,ai4e_hydro_model
GEODB0040537,2013,,21.994522795791173,ai4e_hydro_model
GEODB0040537,2014,,21.19965975813969,ai4e_hydro_model
GEODB0040537,2015,,18.40632652841639,ai4e_hydro_model
GEODB0040537,2016,,25.347837204906796,ai4e_hydro_model
GEODB0040537,2017,,19.743878326572176,ai4e_hydro_model
GEODB0040535,2013,,123.23898534407816,ai4e_hydro_model
GEODB0040535,2014,,82.87810711007968,ai4e_hydro_model
GEODB0040535,2015,,69.15115979271705,ai4e_hydro_model
GEODB0040535,2016,,93.8301648654051,ai4e_hydro_model
GEODB0040535,2017,,80.00720288976618,ai4e_hydro_model
WRI1002169,2013,,105.17106130139337,ai4e_hydro_model
WRI1002169,2014,,75.26892458277439,ai4e_hydro_model
WRI1002169,2015,,79.50193509248452,ai4e_hydro_model
WRI1002169,2016,,105.45920119536977,ai4e_hydro_model
WRI1002169,2017,,88.45143745796403,ai4e_hydro_model
WRI1002170,2013,,1976.0190599209946,ai4e_hydro_model
WRI1002170,2014,,1276.618895134537,ai4e_hydro_model
WRI1002170,2015,,1503.7250935362033,ai4e_hydro_model
WRI1002170,2016,,1795.1564216158613,ai4e_hydro_model
WRI1002170,2017,,1648.2499166426144,ai4e_hydro_model
WRI1002171,2013,,2072.1333671180673,ai4e_hydro_model
WRI1002171,2014,,1618.7311146915847,ai4e_hydro_model
WRI1002171,2015,,1805.6319706865977,ai4e_hydro_model
WRI1002171,2016,,2434.848108497694,ai4e_hydro_model
WRI1002171,2017,,1982.7220122823749,ai4e_hydro_model
WRI1002172,2013,,20.375429660565445,ai4e_hydro_model
WRI1002172,2014,,12.89286557369069,ai4e_hydro_model
WRI1002172,2015,,14.649929730228619,ai4e_hydro_model
WRI1002172,2016,,20.0485515260043,ai4e_hydro_model
WRI1002172,2017,,15.23027962037553,ai4e_hydro_model
WRI1002173,2013,,93.5272613460998,ai4e_hydro_model
WRI1002173,2014,,69.86083606482669,ai4e_hydro_model
WRI1002173,2015,,77.51329304167973,ai4e_hydro_model
WRI1002173,2016,,96.207855768164,ai4e_hydro_model
WRI1002173,2017,,83.57881160158672,ai4e_hydro_model
WRI1002174,2013,,97.42423056885396,ai4e_hydro_model
WRI1002174,2014,,72.77170423419447,ai4e_hydro_model
WRI1002174,2015,,80.74301358508305,ai4e_hydro_model
WRI1002174,2016,,100.21651642517082,ai4e_hydro_model
WRI1002174,2017,,87.06126208498615,ai4e_hydro_model
WRI1002175,2013,,895.0224477351143,ai4e_hydro_model
WRI1002175,2014,,561.9458731270323,ai4e_hydro_model
WRI1002175,2015,,614.4766579434873,ai4e_hydro_model
WRI1002175,2016,,897.474564030279,ai4e_hydro_model
WRI1002175,2017,,703.6454880455719,ai4e_hydro_model
WRI1023798,2013,,30.818023639921165,ai4e_hydro_model
WRI1023798,2014,,33.08221795530597,ai4e_hydro_model
WRI1023798,2015,,27.86758357631711,ai4e_hydro_model
WRI1023798,2016,,32.34334903642957,ai4e_hydro_model
WRI1023798,2017,,30.825871984068172,ai4e_hydro_model
WRI1023001,2013,,60.76996170209446,ai4e_hydro_model
WRI1023001,2014,,50.790147633966455,ai4e_hydro_model
WRI1023001,2015,,49.87947967780701,ai4e_hydro_model
WRI1023001,2016,,80.70651555245728,ai4e_hydro_model
WRI1023001,2017,,48.536332519795074,ai4e_hydro_model
WRI1023003,2013,,573.8197177423248,ai4e_hydro_model
WRI1023003,2014,,732.5326650299788,ai4e_hydro_model
WRI1023003,2015,,709.8455123651568,ai4e_hydro_model
WRI1023003,2016,,604.3182680291383,ai4e_hydro_model
WRI1023003,2017,,678.1938825964987,ai4e_hydro_model
WRI1023004,2013,,1450.819151084213,ai4e_hydro_model
WRI1023004,2014,,1919.5236102737933,ai4e_hydro_model
WRI1023004,2015,,1853.9829470198626,ai4e_hydro_model
WRI1023004,2016,,1538.3592734343858,ai4e_hydro_model
WRI1023004,2017,,1746.6239223902905,ai4e_hydro_model
WRI1023011,2013,,165.92706837269486,ai4e_hydro_model
