gppd_idnr,year,reported_generation,estimated_generation,model_name
WRI1005268,2013,,17.41677354704234,ai4e_wind_model
WRI1005268,2014,,17.213461887340383,ai4e_wind_model
WRI1005268,2015,,16.07837005092541,ai4e_wind_model
WRI1005268,2016,,16.619430036987588,ai4e_wind_model
WRI1005268,2017,,13.244393712284372,ai4e_wind_model
WRI1005270,2015,,104.39955672807919,ai4e_wind_model
WRI1005270,2016,,111.46077219904254,ai4e_wind_model
WRI1005270,2017,,107.26660031350187,ai4e_wind_model
WRI1005269,2016,,63.37567620134775,ai4e_wind_model
WRI1005269,2017,,70.84601746091646,ai4e_wind_model
WRI1002212,2013,,633.791269962325,ai4e_wind_model
WRI1002212,2014,,662.4357977192492,ai4e_wind_model
WRI1002212,2015,588.165,621.0955705863884,ai4e_wind_model
WRI1002212,2016,528.719,540.7553334846165,ai4e_wind_model
WRI1002212,2017,539.363,574.7065156740018,ai4e_wind_model
WRI1002260,2014,,886.2018292360347,ai4e_wind_model
WRI1002260,2015,842.258,911.8347968943201,ai4e_wind_model
WRI1002260,2016,758.186,834.8597992754173,ai4e_wind_model
WRI1002260,2017,1222.506,791.0794778872404,ai4e_wind_model
WRI1002274,2014,,741.9628141600891,ai4e_wind_model
WRI1002274,2015,582.87,772.5370213363059,ai4e_wind_model
WRI1002274,2016,537.701,706.4238330012614,ai4e_wind_model
WRI1002274,2017,567.871,669.2156436177253,ai4e_wind_model
BRA0029085,2013,,15.021913122567254,ai4e_wind_model
BRA0029085,2014,,11.488716467618088,ai4e_wind_model
BRA0029085,2015,,14.46441490785511,ai4e_wind_model
BRA0029085,2016,,10.355123896656426,ai4e_wind_model
BRA0029085,2017,,10.040112682875668,ai4e_wind_model
BRA0028444,2013,,199.18887274335086,ai4e_wind_model
BRA0028444,2014,,189.91312042769113,ai4e_wind_model
BRA0028444,2015,,184.54871842309674,ai4e_wind_model
BRA0028444,2016,,171.0114158696647,ai4e_wind_model
BRA0028444,2017,,179.88773892401775,ai4e_wind_model
BRA0028443,2013,,435.32170571128404,ai4e_wind_model
BRA0028443,2014,,413.1977893622529,ai4e_wind_model
BRA0028443,2015,,386.029661529461,ai4e_wind_model
BRA0028443,2016,,383.8902703013642,ai4e_wind_model
BRA0028443,2017,,369.97598665189054,ai4e_wind_model
BRA0029112,2013,,23.19412630901798,ai4e_wind_model
BRA0029112,2014,,20.159951769645417,ai4e_wind_model
BRA0029112,2015,,18.408382199196645,ai4e_wind_model
BRA0029112,2016,,15.183236890316316,ai4e_wind_model
BRA0029112,2017,,14.79529072000208,ai4e_wind_model
BRA0030320,2015,,26.334074688429414,ai4e_wind_model
BRA0030320,2016,,29.060066276033414,ai4e_wind_model
BRA0030320,2017,,22.845248508936507,ai4e_wind_model
BRA0030779,2016,,114.26342174101151,ai4e_wind_model
BRA0030779,2017,,113.40861523290317,ai4e_wind_model
BRA0029069,2013,,44.11680272441036,ai4e_wind_model
BRA0029069,2014,,34.7295989937829,ai4e_wind_model
BRA0029069,2015,,40.03633132741857,ai4e_wind_model
BRA0029069,2016,,47.17158426905903,ai4e_wind_model
BRA0029069,2017,,51.65511888117544,ai4e_wind_model
BRA0030732,2017,,51.82366803544125,ai4e_wind_model
BRA0029052,2013,,58.82240363254714,ai4e_wind_model
BRA0029052,2014,,46.30613199171053,ai4e_wind_model
BRA0029052,2015,,50.02278528008394,ai4e_wind_model
BRA0029052,2016,,59.52725315709366,ai4e_wind_model
BRA0029052,2017,,65.51450201842634,ai4e_wind_model
BRA0030121,2013,,61.310324740482834,ai4e_wind_model
BRA0030121,2014,,61.041471976894705,ai4e_wind_model
BRA0030121,2015,,54.82530529332956,ai4e_wind_model
BRA0030121,2016,,39.02476191461129,ai4e_wind_model
BRA0030121,2017,,40.83837300446216,ai4e_wind_model
BRA0030340,2015,,115.39726495335802,ai4e_wind_model
BRA0030340,2016,,105.09058459346915,ai4e_wind_model
BRA0030340,2017,,90.00159095406974,ai4e_wind_model
BRA0030622,2014,,116.71601621468885,ai4e_wind_model
BRA0030622,2015,,116.90401505835727,ai4e_wind_model
BRA0030622,2016,,92.56222631314233,ai4e_wind_model
BRA0030622,2017,,82.91762688584384,ai4e_wind_model
BRA0030505,2016,,105.33987089680396,ai4e_wind_model
BRA0030505,2017,,103.65176556462684,ai4e_wind_model
BRA0030547,2016,,105.33987089680396,ai4e_wind_model
BRA0030547,2017,,103.65176556462684,ai4e_wind_model
BRA0030548,2016,,105.33987089680396,ai4e_wind_model
BRA0030548,2017,,103.65176556462684,ai4e_wind_model
BRA0030498,2015,,133.96945403800984,ai4e_wind_model
BRA0030498,2016,,123.18310282018362,ai4e_wind_model
BRA0030498,2017,,105.49637034909273,ai4e_wind_model
BRA0030507,2015,,133.96945403800984,ai4e_wind_model
BRA0030507,2016,,123.18310282018362,ai4e_wind_model
BRA0030507,2017,,105.49637034909273,ai4e_wind_model
BRA0030520,2015,,133.96945403800984,ai4e_wind_model
BRA0030520,2016,,123.18310282018362,ai4e_wind_model
BRA0030520,2017,,105.49637034909273,ai4e_wind_model
BRA0030513,2015,,135.2641933519215,ai4e_wind_model
BRA0030513,2016,,123.18310282018362,ai4e_wind_model
BRA0030513,2017,,105.49637034909273,ai4e_wind_model
BRA0030508,2015,,133.96945403800984,ai4e_wind_model
BRA0030508,2016,,123.18310282018362,ai4e_wind_model
BRA0030508,2017,,105.49637034909273,ai4e_wind_model
BRA0031343,2017,,121.34457121571917,ai4e_wind_model
BRA0031341,2017,,80.03655295048841,ai4e_wind_model
BRA0031356,2017,,72.03289765543957,ai4e_wind_model
BRA0029088,2013,,15.021913122567254,ai4e_wind_model
BRA0029088,2014,,11.488716467618088,ai4e_wind_model
BRA0029088,2015,,14.46441490785511,ai4e_wind_model
BRA0029088,2016,,10.355123896656426,ai4e_wind_model
BRA0029088,2017,,10.040112682875668,ai4e_wind_model
BRA0030457,2015,,116.84859189867198,ai4e_wind_model
BRA0030457,2016,,112.51270506338689,ai4e_wind_model
BRA0030457,2017,,102.26760558963143,ai4e_wind_model
