Technology,Country/area,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Wind,World,Electricity capacity (MW),16925.6,23964.1,30728.1,38667.4,47682.3,58404.5,73158.2,91542.3,115555.6,150122.0,180852.1,219980.6,266866.2,299993.7,349202.5,416211.1,466956.9,514746.8,563659.3
Wind,World,Electricity generation (GWh),30924.8,37716.3,52418.9,63006.5,83567.8,102676.9,128905.7,168102.8,215764.0,270953.2,342091.9,432479.5,524489.1,635110.4,712027.4,828251.2,954657.8,1134451.1,
Wind,Africa,Electricity capacity (MW),133.4,133.4,139.7,150.2,232.8,236.8,324.6,466.8,552.0,738.9,861.3,991.5,1124.8,1739.0,2397.6,3318.5,3829.6,4576.5,5464.8
Wind,Africa,Electricity generation (GWh),172.6,412.8,451.7,465.9,636.6,799.5,804.9,987.2,1232.3,1493.8,2027.1,2421.2,2830.8,3522.3,5521.5,7695.9,10355.4,11722.1,
Wind,Algeria,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,10.2,10.2,10.0
Wind,Algeria,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.2,19.4,19.4,
Wind,Angola,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Angola,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Benin,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Benin,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Botswana,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Botswana,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Wind,Burkina Faso,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Wind,Burkina Faso,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
