Technology,Country/area,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Solar photovoltaic,World,Electricity capacity (MW),808.2,1092.7,1437.9,1965.4,3051.6,4545.9,6084.7,8494.4,14713.0,22815.8,40275.0,72077.7,101571.0,135807.2,171596.5,217373.2,290975.3,383316.5,480619.1
Solar photovoltaic,World,Electricity generation (GWh),807.6,1138.3,1411.2,1855.4,2498.1,3808.8,5472.7,7433.3,11907.3,20093.5,32160.4,62443.4,96351.8,131701.1,183943.4,242371.9,314060.4,425810.2,
Solar photovoltaic,Africa,Electricity capacity (MW),10.9,13.1,15.4,18.2,22.3,26.6,35.3,47.8,64.6,108.1,194.8,267.8,347.0,660.6,1558.7,1925.5,2967.8,3778.1,5122.0
Solar photovoltaic,Africa,Electricity generation (GWh),15.0,18.4,21.8,25.9,31.5,37.6,48.4,63.6,83.3,114.7,219.9,340.5,462.3,637.0,1794.1,3022.0,4206.0,6140.5,
Solar photovoltaic,Algeria,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,49.1,219.1,400.0,410.0
Solar photovoltaic,Algeria,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,13.7,204.7,373.6,
Solar photovoltaic,Angola,Electricity capacity (MW),0.0,0.0,0.2,0.2,0.4,0.6,0.8,2.7,4.8,5.3,7.1,7.7,9.6,10.8,12.0,12.9,13.4,13.4,13.4
Solar photovoltaic,Angola,Electricity generation (GWh),0.0,0.0,0.3,0.3,0.6,0.9,1.1,3.8,6.8,7.5,10.1,11.0,13.6,15.3,17.0,18.3,18.3,18.3,
Solar photovoltaic,Benin,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.9,2.9,2.9
Solar photovoltaic,Benin,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.3,5.3,5.3,
Solar photovoltaic,Botswana,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5,1.5,1.7,1.7,2.9,2.9,2.9
Solar photovoltaic,Botswana,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,2.0,2.5,2.6,4.5,4.5,
Solar photovoltaic,Burkina Faso,Electricity capacity (MW),0.5,0.5,0.5,0.7,1.1,1.2,1.2,1.6,2.3,3.0,3.6,5.8,5.8,6.3,7.0,8.0,10.0,46.8,61.8
Solar photovoltaic,Burkina Faso,Electricity generation (GWh),0.8,0.8,0.8,1.1,1.8,1.9,1.9,2.6,3.7,4.9,5.8,9.4,9.4,10.2,11.3,13.0,16.2,28.8,
Solar photovoltaic,Burundi,Electricity capacity (MW),0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.6,0.8,1.6,2.6,2.8,3.1,4.1,5.1,5.1
Solar photovoltaic,Burundi,Electricity generation (GWh),0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.6,0.6,0.9,1.2,2.5,4.0,4.4,4.8,6.4,7.9,
