Technology,Country/area,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Renewable hydropower,World,Electricity capacity (MW),697625.5,709509.9,719980.3,740201.8,761465.8,783107.5,804420.9,831065.6,860922.1,890108.3,924118.0,952044.6,982244.3,1027938.1,1064913.1,1097858.3,1126569.4,1153669.1,1174967.8
Renewable hydropower,World,Electricity generation (GWh),2623051.0,2566036.6,2629917.2,2627932.9,2800317.1,2912329.8,3024602.1,3062605.5,3208758.4,3261036.7,3437371.4,3493091.4,3682586.3,3787361.1,3903811.1,3897256.8,4048741.6,4036795.5,
Renewable hydropower,Africa,Electricity capacity (MW),21106.0,21233.3,21361.1,21738.6,21570.6,21613.5,21618.7,21787.2,22084.1,24123.4,25012.5,25150.8,25810.0,26976.9,27092.9,27617.2,28542.1,31640.6,32486.6
Renewable hydropower,Africa,Electricity generation (GWh),76614.0,83617.3,81586.7,83375.2,87820.6,94435.5,96722.3,95158.3,99931.4,105848.5,110564.8,110465.7,112553.2,119263.3,123374.0,122606.3,119447.8,125544.7,
Renewable hydropower,Algeria,Electricity capacity (MW),276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,228.0,228.0
Renewable hydropower,Algeria,Electricity generation (GWh),54.0,69.0,57.4,265.2,251.1,555.3,217.6,226.1,282.7,342.0,172.8,378.2,389.4,98.5,192.6,145.3,72.0,56.0,
Renewable hydropower,Angola,Electricity capacity (MW),235.6,235.6,235.6,235.6,495.6,495.6,495.6,755.6,771.6,771.6,771.6,771.6,857.2,937.2,953.2,953.2,1684.4,2364.9,2698.9
Renewable hydropower,Angola,Electricity generation (GWh),900.3,1010.3,1130.3,1230.6,1730.3,2200.3,2540.3,2880.2,3146.7,3300.2,3650.2,4007.5,3804.4,3603.1,5004.5,5004.5,6250.7,7678.7,
Renewable hydropower,Benin,Electricity capacity (MW),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Renewable hydropower,Benin,Electricity generation (GWh),1.6,1.6,1.5,1.7,1.5,0.8,0.0,0.0,0.4,0.2,0.0,0.0,0.3,0.0,0.0,1.1,0.0,0.1,
Renewable hydropower,Botswana,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Botswana,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Burkina Faso,Electricity capacity (MW),32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Renewable hydropower,Burkina Faso,Electricity generation (GWh),98.3,53.8,63.8,95.9,101.5,100.5,80.7,111.4,135.9,132.3,117.5,81.9,96.6,105.5,90.5,93.5,139.5,127.9,
Renewable hydropower,Burundi,Electricity capacity (MW),50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.8,50.8,50.8,50.8,50.8,50.8,48.3,48.3
Renewable hydropower,Burundi,Electricity generation (GWh),98.7,112.3,124.4,100.0,90.4,98.0,154.2,197.5,212.9,200.4,229.0,240.1,251.0,249.0,240.7,236.1,271.9,258.7,
Renewable hydropower,Cabo Verde,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Cabo Verde,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Cameroon,Electricity capacity (MW),719.3,719.3,719.3,719.3,719.3,719.3,719.3,719.3,719.3,719.3,723.3,728.5,728.5,732.5,732.5,732.5,732.5,732.3,732.3
Renewable hydropower,Cameroon,Electricity generation (GWh),3442.0,3474.0,3182.0,3528.0,3920.0,3772.0,3892.0,3847.0,4232.0,4016.0,4260.0,4385.4,4256.1,4372.7,4372.7,4372.7,4372.7,5089.9,
Renewable hydropower,Cent Afr Rep,Electricity capacity (MW),18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9
Renewable hydropower,Cent Afr Rep,Electricity generation (GWh),85.3,84.3,84.3,85.3,126.3,135.3,141.3,138.3,126.3,139.3,140.3,141.3,141.3,141.3,141.3,141.3,135.6,135.6,
Renewable hydropower,Chad,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Chad,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,
Renewable hydropower,Comoros,Electricity capacity (MW),0.0,0.0,0.6,0.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Renewable hydropower,Comoros,Electricity generation (GWh),0.0,0.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,
Renewable hydropower,Congo DR,Electricity capacity (MW),2489.8,2510.0,2510.0,2515.0,2515.0,2515.0,2515.0,2515.0,2514.0,2514.0,2514.0,2514.0,2514.0,2514.8,2514.8,2527.9,2548.0,2558.8,2739.8
Renewable hydropower,Congo DR,Electricity generation (GWh),6225.4,6214.1,6355.6,6221.7,7160.7,7475.2,7511.9,7879.3,7529.5,7940.3,7811.6,7481.0,7861.4,8678.9,9073.2,9167.5,9240.8,9279.8,
Renewable hydropower,Congo Rep,Electricity capacity (MW),74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,194.0,194.0,194.0,194.0,200.5,213.9,213.9
Renewable hydropower,Congo Rep,Electricity generation (GWh),210.0,320.0,319.0,397.0,344.1,355.4,372.3,334.6,375.3,329.6,429.8,429.8,1126.0,1126.0,1126.0,1126.0,1163.7,1241.5,
Renewable hydropower,Cote d Ivoire,Electricity capacity (MW),604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,879.0,879.0
